Loading data...
Vocabulary Size: 126197
Train/Dev split: 85710/9523
Writing to /home/cuizy/Downloads/cnn-text-classification-tf-master/runs/1541326160

2018-11-04T05:09:24.061990: step 1, loss 3.26253, acc 0.5
2018-11-04T05:09:48.062202: step 34, loss 1.67992, acc 0.5625
2018-11-04T05:09:48.698697: step 35, loss 1.9197, acc 0.484375
2018-11-04T05:09:49.382378: step 36, loss 1.9299, acc 0.40625
2018-11-04T05:09:50.056496: step 37, loss 1.47343, acc 0.578125
2018-11-04T05:09:51.088926: step 38, loss 1.7413, acc 0.46875
2018-11-04T05:09:51.943511: step 39, loss 1.50391, acc 0.578125
2018-11-04T05:09:52.659783: step 40, loss 1.9321, acc 0.421875
2018-11-04T05:09:53.317864: step 41, loss 1.6297, acc 0.546875
2018-11-04T05:09:53.978640: step 42, loss 1.61865, acc 0.53125
2018-11-04T05:09:54.635395: step 43, loss 1.25441, acc 0.59375
2018-11-04T05:09:55.268684: step 44, loss 1.5305, acc 0.546875
2018-11-04T05:09:55.912126: step 45, loss 1.69125, acc 0.46875
2018-11-04T05:09:56.556284: step 46, loss 2.17937, acc 0.515625
2018-11-04T05:09:57.333139: step 47, loss 1.20477, acc 0.609375
2018-11-04T05:09:58.102691: step 48, loss 1.83047, acc 0.484375
2018-11-04T05:09:58.895702: step 49, loss 1.1429, acc 0.671875
2018-11-04T05:09:59.571371: step 50, loss 2.01306, acc 0.46875
2018-11-04T05:10:00.588689: step 51, loss 1.51066, acc 0.578125
2018-11-04T05:10:01.435352: step 52, loss 1.58446, acc 0.609375
2018-11-04T05:10:02.232364: step 53, loss 2.04985, acc 0.40625
2018-11-04T05:10:03.167340: step 54, loss 1.5272, acc 0.578125
2018-11-04T05:10:03.906016: step 55, loss 1.138, acc 0.609375
2018-11-04T05:10:04.647666: step 56, loss 1.34466, acc 0.515625
2018-11-04T05:10:05.285898: step 57, loss 1.53594, acc 0.515625
2018-11-04T05:10:05.933533: step 58, loss 1.52583, acc 0.609375
2018-11-04T05:10:06.604355: step 59, loss 1.3579, acc 0.515625
2018-11-04T05:10:07.252762: step 60, loss 2.14542, acc 0.4375
2018-11-04T05:10:07.937129: step 61, loss 1.67363, acc 0.484375
2018-11-04T05:10:08.610906: step 62, loss 1.9001, acc 0.421875
2018-11-04T05:10:09.304973: step 63, loss 1.26279, acc 0.609375
2018-11-04T05:10:09.983687: step 64, loss 1.81811, acc 0.40625
2018-11-04T05:10:10.705916: step 65, loss 1.33737, acc 0.625
2018-11-04T05:10:11.369538: step 66, loss 1.57902, acc 0.578125
2018-11-04T05:10:12.029564: step 67, loss 1.55699, acc 0.53125
2018-11-04T05:10:12.717950: step 68, loss 1.40508, acc 0.59375
2018-11-04T05:10:13.617674: step 69, loss 1.94737, acc 0.5
2018-11-04T05:10:14.438648: step 70, loss 1.84926, acc 0.4375
2018-11-04T05:10:15.131143: step 71, loss 1.30914, acc 0.46875
2018-11-04T05:10:15.810214: step 72, loss 1.1547, acc 0.5625
2018-11-04T05:10:16.468786: step 73, loss 1.27217, acc 0.59375
2018-11-04T05:10:17.130989: step 74, loss 1.18239, acc 0.609375
2018-11-04T05:10:17.819009: step 75, loss 1.83878, acc 0.53125
2018-11-04T05:10:18.520321: step 76, loss 1.56001, acc 0.515625
2018-11-04T05:10:19.478819: step 77, loss 1.41968, acc 0.5625
2018-11-04T05:10:20.133556: step 78, loss 1.72908, acc 0.4375
2018-11-04T05:10:20.777227: step 79, loss 1.50124, acc 0.46875
2018-11-04T05:10:21.417164: step 80, loss 1.0052, acc 0.71875
2018-11-04T05:10:22.050268: step 81, loss 1.23714, acc 0.609375
2018-11-04T05:10:22.694910: step 82, loss 1.98452, acc 0.40625
2018-11-04T05:10:23.334418: step 83, loss 1.25693, acc 0.59375
2018-11-04T05:10:23.977819: step 84, loss 1.47299, acc 0.515625
2018-11-04T05:10:24.627139: step 85, loss 1.35533, acc 0.578125
2018-11-04T05:10:25.272875: step 86, loss 1.35543, acc 0.578125
2018-11-04T05:10:25.922845: step 87, loss 1.13798, acc 0.546875
2018-11-04T05:10:26.567300: step 88, loss 1.5023, acc 0.5
2018-11-04T05:10:27.206050: step 89, loss 1.15852, acc 0.625
2018-11-04T05:10:27.848376: step 90, loss 1.45397, acc 0.5
2018-11-04T05:10:28.483839: step 91, loss 1.2731, acc 0.609375
2018-11-04T05:10:29.134893: step 92, loss 1.1304, acc 0.5625
2018-11-04T05:10:29.773428: step 93, loss 1.37187, acc 0.578125
2018-11-04T05:10:30.404265: step 94, loss 1.34033, acc 0.546875
2018-11-04T05:10:31.048465: step 95, loss 1.59417, acc 0.515625
2018-11-04T05:10:31.685968: step 96, loss 1.50521, acc 0.5625
2018-11-04T05:10:32.328011: step 97, loss 0.991363, acc 0.625
2018-11-04T05:10:32.974356: step 98, loss 1.25076, acc 0.578125
2018-11-04T05:10:33.620056: step 99, loss 1.21042, acc 0.484375
2018-11-04T05:10:34.253837: step 100, loss 1.14258, acc 0.578125

Evaluation:
2018-11-04T05:10:45.781290: step 100, loss 0.58468, acc 0.675837

Saved model checkpoint to /home/cuizy/Downloads/cnn-text-classification-tf-master/runs/1541326160/checkpoints/model-100

2018-11-04T05:10:46.655317: step 101, loss 1.37337, acc 0.53125
2018-11-04T05:10:47.293628: step 102, loss 1.1372, acc 0.578125
2018-11-04T05:10:47.934245: step 103, loss 1.08724, acc 0.640625
2018-11-04T05:10:48.579327: step 104, loss 1.1101, acc 0.546875
2018-11-04T05:10:49.219904: step 105, loss 1.36303, acc 0.546875
2018-11-04T05:10:49.860655: step 106, loss 1.3458, acc 0.546875
2018-11-04T05:10:50.497686: step 107, loss 1.21088, acc 0.609375
2018-11-04T05:10:51.145214: step 108, loss 1.38328, acc 0.578125
2018-11-04T05:10:51.824671: step 109, loss 1.08078, acc 0.65625
2018-11-04T05:10:52.495943: step 110, loss 1.22578, acc 0.609375
2018-11-04T05:10:53.147858: step 111, loss 0.846343, acc 0.6875
2018-11-04T05:10:53.785107: step 112, loss 0.871258, acc 0.609375
2018-11-04T05:10:54.422083: step 113, loss 1.32989, acc 0.53125
2018-11-04T05:10:55.053094: step 114, loss 1.12611, acc 0.671875
2018-11-04T05:10:55.694123: step 115, loss 1.24816, acc 0.578125
2018-11-04T05:10:56.331314: step 116, loss 1.31987, acc 0.59375
2018-11-04T05:10:56.968120: step 117, loss 1.22388, acc 0.59375
2018-11-04T05:10:57.606682: step 118, loss 0.971956, acc 0.640625
2018-11-04T05:10:58.246121: step 119, loss 1.14298, acc 0.578125
2018-11-04T05:10:58.878814: step 120, loss 1.45632, acc 0.59375
2018-11-04T05:10:59.519864: step 121, loss 1.15251, acc 0.59375
2018-11-04T05:11:00.159167: step 122, loss 1.0383, acc 0.578125
2018-11-04T05:11:00.793704: step 123, loss 1.06269, acc 0.578125
2018-11-04T05:11:01.428007: step 124, loss 1.04426, acc 0.53125
2018-11-04T05:11:02.063241: step 125, loss 1.54274, acc 0.5
2018-11-04T05:11:02.702676: step 126, loss 1.06873, acc 0.609375
2018-11-04T05:11:03.364027: step 127, loss 1.21988, acc 0.59375
2018-11-04T05:11:03.998248: step 128, loss 0.815107, acc 0.671875
2018-11-04T05:11:04.638469: step 129, loss 1.53351, acc 0.546875
2018-11-04T05:11:05.287076: step 130, loss 1.0371, acc 0.625
2018-11-04T05:11:05.949371: step 131, loss 1.33559, acc 0.546875
2018-11-04T05:11:06.588168: step 132, loss 1.22168, acc 0.609375
2018-11-04T05:11:07.278150: step 133, loss 0.971099, acc 0.640625
2018-11-04T05:11:07.956456: step 134, loss 1.14119, acc 0.59375
2018-11-04T05:11:08.599355: step 135, loss 0.789202, acc 0.671875
2018-11-04T05:11:09.253546: step 136, loss 1.12536, acc 0.578125
2018-11-04T05:11:09.897184: step 137, loss 1.18279, acc 0.53125
2018-11-04T05:11:10.596543: step 138, loss 1.07389, acc 0.640625
2018-11-04T05:11:11.249622: step 139, loss 1.1077, acc 0.609375
2018-11-04T05:11:11.917629: step 140, loss 0.880756, acc 0.640625
2018-11-04T05:11:12.674552: step 141, loss 1.0915, acc 0.578125
2018-11-04T05:11:13.508673: step 142, loss 1.03108, acc 0.640625
2018-11-04T05:11:14.195949: step 143, loss 0.982952, acc 0.515625
2018-11-04T05:11:14.888061: step 144, loss 1.49312, acc 0.453125
2018-11-04T05:11:15.541676: step 145, loss 1.23386, acc 0.640625
2018-11-04T05:11:16.208131: step 146, loss 1.20148, acc 0.609375
2018-11-04T05:11:16.861645: step 147, loss 0.97912, acc 0.625
2018-11-04T05:11:17.515211: step 148, loss 0.952506, acc 0.640625
2018-11-04T05:11:18.146346: step 149, loss 0.697099, acc 0.671875
2018-11-04T05:11:18.787984: step 150, loss 0.94596, acc 0.609375
2018-11-04T05:11:19.420098: step 151, loss 0.840748, acc 0.671875
2018-11-04T05:11:20.051226: step 152, loss 1.24703, acc 0.5625
2018-11-04T05:11:20.700072: step 153, loss 1.12648, acc 0.546875
2018-11-04T05:11:21.336665: step 154, loss 0.828176, acc 0.6875
2018-11-04T05:11:21.969801: step 155, loss 0.993833, acc 0.671875
2018-11-04T05:11:22.622551: step 156, loss 0.764358, acc 0.6875
2018-11-04T05:11:23.256618: step 157, loss 1.07144, acc 0.578125
2018-11-04T05:11:23.906417: step 158, loss 1.07736, acc 0.625
2018-11-04T05:11:24.567168: step 159, loss 0.960772, acc 0.6875
2018-11-04T05:11:25.212126: step 160, loss 0.898003, acc 0.625
2018-11-04T05:11:25.877403: step 161, loss 0.628402, acc 0.78125
2018-11-04T05:11:26.514683: step 162, loss 1.1476, acc 0.578125
2018-11-04T05:11:27.148692: step 163, loss 1.24604, acc 0.5625
2018-11-04T05:11:27.785304: step 164, loss 0.853024, acc 0.65625
2018-11-04T05:11:28.425724: step 165, loss 1.09289, acc 0.625
2018-11-04T05:11:29.057064: step 166, loss 0.849515, acc 0.609375
2018-11-04T05:11:29.696819: step 167, loss 0.917979, acc 0.65625
2018-11-04T05:11:30.328194: step 168, loss 1.04015, acc 0.578125
2018-11-04T05:11:30.966239: step 169, loss 1.06784, acc 0.671875
2018-11-04T05:11:31.592565: step 170, loss 0.97093, acc 0.6875
2018-11-04T05:11:32.270401: step 171, loss 1.16202, acc 0.671875
2018-11-04T05:11:32.914277: step 172, loss 0.768181, acc 0.625
2018-11-04T05:11:33.557474: step 173, loss 0.810073, acc 0.65625
2018-11-04T05:11:34.191256: step 174, loss 0.826825, acc 0.625
2018-11-04T05:11:34.836853: step 175, loss 0.926162, acc 0.609375
2018-11-04T05:11:35.474967: step 176, loss 0.85727, acc 0.609375
2018-11-04T05:11:36.119322: step 177, loss 0.882091, acc 0.640625
2018-11-04T05:11:36.764578: step 178, loss 0.985237, acc 0.578125
2018-11-04T05:11:37.402236: step 179, loss 0.983934, acc 0.546875
2018-11-04T05:11:38.049894: step 180, loss 0.668539, acc 0.75
2018-11-04T05:11:38.714960: step 181, loss 0.817828, acc 0.65625
2018-11-04T05:11:39.344490: step 182, loss 0.877788, acc 0.640625
2018-11-04T05:11:39.983868: step 183, loss 0.864161, acc 0.609375
2018-11-04T05:11:40.625406: step 184, loss 0.672915, acc 0.71875
2018-11-04T05:11:41.255451: step 185, loss 0.697161, acc 0.765625
2018-11-04T05:11:41.901189: step 186, loss 0.887043, acc 0.65625
2018-11-04T05:11:42.546088: step 187, loss 0.91175, acc 0.578125
2018-11-04T05:11:43.186437: step 188, loss 1.13922, acc 0.5625
2018-11-04T05:11:43.822642: step 189, loss 0.500968, acc 0.75
2018-11-04T05:11:44.455012: step 190, loss 0.70645, acc 0.6875
2018-11-04T05:11:45.106492: step 191, loss 1.05544, acc 0.546875
2018-11-04T05:11:45.757531: step 192, loss 0.636412, acc 0.734375
2018-11-04T05:11:46.405168: step 193, loss 0.810677, acc 0.6875
2018-11-04T05:11:47.040308: step 194, loss 0.506252, acc 0.765625
2018-11-04T05:11:47.683735: step 195, loss 0.725924, acc 0.65625
2018-11-04T05:11:48.326578: step 196, loss 0.923836, acc 0.609375
2018-11-04T05:11:48.964867: step 197, loss 0.807053, acc 0.671875
2018-11-04T05:11:49.597831: step 198, loss 0.665337, acc 0.6875
2018-11-04T05:11:50.241388: step 199, loss 0.822598, acc 0.71875
2018-11-04T05:11:50.894119: step 200, loss 0.906418, acc 0.59375

Evaluation:
2018-11-04T05:12:02.299677: step 200, loss 0.501859, acc 0.705975

Saved model checkpoint to /home/cuizy/Downloads/cnn-text-classification-tf-master/runs/1541326160/checkpoints/model-200

2018-11-04T05:12:03.186466: step 201, loss 0.654542, acc 0.6875
2018-11-04T05:12:03.822615: step 202, loss 0.878832, acc 0.703125
2018-11-04T05:12:04.458200: step 203, loss 0.695667, acc 0.734375
2018-11-04T05:12:05.095795: step 204, loss 0.864671, acc 0.734375
2018-11-04T05:12:05.725952: step 205, loss 0.780959, acc 0.625
2018-11-04T05:12:06.366558: step 206, loss 0.715943, acc 0.71875
2018-11-04T05:12:07.000212: step 207, loss 0.495169, acc 0.734375
2018-11-04T05:12:07.650361: step 208, loss 0.710257, acc 0.65625
2018-11-04T05:12:08.332613: step 209, loss 0.917731, acc 0.625
2018-11-04T05:12:09.608632: step 210, loss 0.821934, acc 0.6875
2018-11-04T05:12:10.254377: step 211, loss 0.665847, acc 0.65625
2018-11-04T05:12:10.906097: step 212, loss 0.936961, acc 0.625
2018-11-04T05:12:11.580229: step 213, loss 0.350052, acc 0.8125
2018-11-04T05:12:12.222716: step 214, loss 0.877594, acc 0.734375
2018-11-04T05:12:12.886258: step 215, loss 1.0808, acc 0.640625
2018-11-04T05:12:13.536214: step 216, loss 0.931004, acc 0.6875
2018-11-04T05:12:14.185327: step 217, loss 0.730609, acc 0.609375
2018-11-04T05:12:14.821798: step 218, loss 0.585918, acc 0.796875
2018-11-04T05:12:15.453814: step 219, loss 0.908875, acc 0.609375
2018-11-04T05:12:16.091994: step 220, loss 0.499822, acc 0.703125
2018-11-04T05:12:16.726246: step 221, loss 0.637223, acc 0.734375
2018-11-04T05:12:17.367204: step 222, loss 0.680835, acc 0.6875
2018-11-04T05:12:18.012576: step 223, loss 1.02255, acc 0.609375
2018-11-04T05:12:18.657332: step 224, loss 0.665052, acc 0.671875
2018-11-04T05:12:19.308106: step 225, loss 0.732214, acc 0.671875
2018-11-04T05:12:19.948302: step 226, loss 1.0302, acc 0.5625
2018-11-04T05:12:20.596049: step 227, loss 0.747969, acc 0.671875
2018-11-04T05:12:21.254955: step 228, loss 0.450484, acc 0.8125
2018-11-04T05:12:21.888135: step 229, loss 0.748945, acc 0.65625
2018-11-04T05:12:22.558423: step 230, loss 0.598832, acc 0.75
2018-11-04T05:12:23.198438: step 231, loss 0.721022, acc 0.703125
2018-11-04T05:12:23.864184: step 232, loss 1.08693, acc 0.609375
2018-11-04T05:12:24.498641: step 233, loss 0.989163, acc 0.609375
2018-11-04T05:12:25.135408: step 234, loss 0.872065, acc 0.609375
2018-11-04T05:12:25.781203: step 235, loss 0.674353, acc 0.703125
2018-11-04T05:12:26.420246: step 236, loss 0.859322, acc 0.640625
2018-11-04T05:12:27.048503: step 237, loss 0.681935, acc 0.65625
2018-11-04T05:12:27.685863: step 238, loss 0.716389, acc 0.671875
2018-11-04T05:12:28.329884: step 239, loss 0.712183, acc 0.671875
2018-11-04T05:12:28.969700: step 240, loss 0.81573, acc 0.578125
2018-11-04T05:12:29.638633: step 241, loss 0.931184, acc 0.59375
2018-11-04T05:12:30.268998: step 242, loss 0.803716, acc 0.625
2018-11-04T05:12:30.906676: step 243, loss 0.808217, acc 0.609375
2018-11-04T05:12:31.548883: step 244, loss 0.575449, acc 0.765625
2018-11-04T05:12:32.185794: step 245, loss 0.428469, acc 0.78125
2018-11-04T05:12:32.824054: step 246, loss 0.623956, acc 0.734375
2018-11-04T05:12:33.477319: step 247, loss 0.64933, acc 0.703125
2018-11-04T05:12:34.137430: step 248, loss 0.745566, acc 0.6875
2018-11-04T05:12:34.793708: step 249, loss 0.739148, acc 0.703125
2018-11-04T05:12:35.426692: step 250, loss 0.474891, acc 0.765625
2018-11-04T05:12:36.067860: step 251, loss 0.819494, acc 0.609375
2018-11-04T05:12:36.709030: step 252, loss 0.64369, acc 0.65625
2018-11-04T05:12:37.353282: step 253, loss 1.12058, acc 0.578125
2018-11-04T05:12:37.988959: step 254, loss 0.736583, acc 0.59375
2018-11-04T05:12:38.628529: step 255, loss 0.824885, acc 0.71875
2018-11-04T05:12:39.267710: step 256, loss 0.834159, acc 0.734375
2018-11-04T05:12:39.904495: step 257, loss 0.500281, acc 0.78125
2018-11-04T05:12:40.562118: step 258, loss 0.778159, acc 0.640625
2018-11-04T05:12:41.203953: step 259, loss 0.657845, acc 0.75
2018-11-04T05:12:41.841728: step 260, loss 0.87079, acc 0.671875
2018-11-04T05:12:42.479886: step 261, loss 0.73495, acc 0.640625
2018-11-04T05:12:43.134859: step 262, loss 0.660555, acc 0.71875
2018-11-04T05:12:43.846179: step 263, loss 0.762081, acc 0.671875
2018-11-04T05:12:44.502554: step 264, loss 0.798381, acc 0.6875
2018-11-04T05:12:45.159311: step 265, loss 0.769267, acc 0.625
2018-11-04T05:12:45.832445: step 266, loss 0.856045, acc 0.609375
2018-11-04T05:12:46.517065: step 267, loss 0.59119, acc 0.6875
2018-11-04T05:12:47.168005: step 268, loss 0.607292, acc 0.71875
2018-11-04T05:12:47.822940: step 269, loss 0.68045, acc 0.625
2018-11-04T05:12:48.455114: step 270, loss 0.854847, acc 0.625
2018-11-04T05:12:49.101082: step 271, loss 0.614566, acc 0.796875
2018-11-04T05:12:49.750862: step 272, loss 0.759731, acc 0.703125
2018-11-04T05:12:50.398026: step 273, loss 0.734175, acc 0.6875
2018-11-04T05:12:51.039079: step 274, loss 0.650704, acc 0.6875
2018-11-04T05:12:51.702853: step 275, loss 0.685227, acc 0.65625
2018-11-04T05:12:52.347526: step 276, loss 0.625844, acc 0.6875
2018-11-04T05:12:52.991955: step 277, loss 0.769806, acc 0.671875
2018-11-04T05:12:53.650724: step 278, loss 0.717342, acc 0.640625
2018-11-04T05:12:54.298075: step 279, loss 0.8508, acc 0.625
2018-11-04T05:12:54.945713: step 280, loss 0.746656, acc 0.65625
2018-11-04T05:12:55.598169: step 281, loss 0.449469, acc 0.734375
2018-11-04T05:12:56.256040: step 282, loss 0.610089, acc 0.765625
2018-11-04T05:12:56.905682: step 283, loss 0.590308, acc 0.765625
2018-11-04T05:12:57.542821: step 284, loss 0.833374, acc 0.5625
2018-11-04T05:12:58.189383: step 285, loss 0.595675, acc 0.71875
2018-11-04T05:12:58.837111: step 286, loss 0.653219, acc 0.65625
2018-11-04T05:12:59.482415: step 287, loss 0.997949, acc 0.625
2018-11-04T05:13:00.121696: step 288, loss 0.641563, acc 0.640625
2018-11-04T05:13:00.766266: step 289, loss 0.704353, acc 0.625
2018-11-04T05:13:01.416591: step 290, loss 0.718333, acc 0.6875
2018-11-04T05:13:02.060958: step 291, loss 0.615623, acc 0.734375
2018-11-04T05:13:02.715413: step 292, loss 0.688053, acc 0.734375
2018-11-04T05:13:03.349930: step 293, loss 0.505294, acc 0.796875
2018-11-04T05:13:03.997606: step 294, loss 0.750482, acc 0.6875
2018-11-04T05:13:04.642370: step 295, loss 0.711084, acc 0.625
2018-11-04T05:13:05.273959: step 296, loss 0.550895, acc 0.703125
2018-11-04T05:13:05.938362: step 297, loss 0.630155, acc 0.640625
2018-11-04T05:13:06.576917: step 298, loss 0.832927, acc 0.5625
2018-11-04T05:13:07.224944: step 299, loss 0.725991, acc 0.6875
2018-11-04T05:13:07.887958: step 300, loss 0.59125, acc 0.71875

Evaluation:
2018-11-04T05:13:19.150419: step 300, loss 0.511941, acc 0.698939

Saved model checkpoint to /home/cuizy/Downloads/cnn-text-classification-tf-master/runs/1541326160/checkpoints/model-300

2018-11-04T05:13:20.177385: step 301, loss 0.716823, acc 0.6875
2018-11-04T05:13:20.821799: step 302, loss 0.596646, acc 0.765625
2018-11-04T05:13:21.477929: step 303, loss 0.938939, acc 0.65625
2018-11-04T05:13:22.111280: step 304, loss 0.761846, acc 0.609375
2018-11-04T05:13:22.745754: step 305, loss 0.767198, acc 0.640625
2018-11-04T05:13:23.384170: step 306, loss 0.753194, acc 0.640625
2018-11-04T05:13:24.023929: step 307, loss 0.759718, acc 0.671875
2018-11-04T05:13:24.683924: step 308, loss 0.631459, acc 0.734375
2018-11-04T05:13:25.362074: step 309, loss 0.679374, acc 0.6875
2018-11-04T05:13:26.036796: step 310, loss 0.733776, acc 0.6875
2018-11-04T05:13:26.696223: step 311, loss 0.711902, acc 0.6875
2018-11-04T05:13:27.339319: step 312, loss 0.624079, acc 0.734375
2018-11-04T05:13:27.984454: step 313, loss 0.591497, acc 0.78125
2018-11-04T05:13:28.621666: step 314, loss 0.859267, acc 0.671875
2018-11-04T05:13:29.269317: step 315, loss 0.529991, acc 0.71875
2018-11-04T05:13:29.907125: step 316, loss 0.62829, acc 0.6875
2018-11-04T05:13:30.553138: step 317, loss 0.682749, acc 0.65625
2018-11-04T05:13:31.203087: step 318, loss 0.430454, acc 0.765625
2018-11-04T05:13:31.853916: step 319, loss 0.587181, acc 0.703125
2018-11-04T05:13:32.488005: step 320, loss 0.966397, acc 0.59375
2018-11-04T05:13:33.141096: step 321, loss 0.438216, acc 0.796875
2018-11-04T05:13:33.779816: step 322, loss 0.657491, acc 0.734375
2018-11-04T05:13:34.413960: step 323, loss 0.585823, acc 0.703125
2018-11-04T05:13:35.065392: step 324, loss 0.697741, acc 0.609375
2018-11-04T05:13:35.709895: step 325, loss 0.496828, acc 0.703125
2018-11-04T05:13:36.348722: step 326, loss 0.694499, acc 0.6875
2018-11-04T05:13:36.986102: step 327, loss 0.660133, acc 0.609375
2018-11-04T05:13:37.626539: step 328, loss 0.592428, acc 0.796875
2018-11-04T05:13:38.264325: step 329, loss 0.793754, acc 0.578125
2018-11-04T05:13:38.905059: step 330, loss 0.551543, acc 0.734375
2018-11-04T05:13:39.551484: step 331, loss 0.81765, acc 0.640625
2018-11-04T05:13:40.189728: step 332, loss 0.654228, acc 0.640625
2018-11-04T05:13:40.869576: step 333, loss 0.609265, acc 0.765625
2018-11-04T05:13:41.510761: step 334, loss 0.633739, acc 0.71875
2018-11-04T05:13:42.157220: step 335, loss 0.495765, acc 0.71875
2018-11-04T05:13:42.799905: step 336, loss 0.471325, acc 0.78125
2018-11-04T05:13:43.440707: step 337, loss 0.616953, acc 0.625
2018-11-04T05:13:44.078800: step 338, loss 0.710261, acc 0.609375
2018-11-04T05:13:44.721191: step 339, loss 0.65633, acc 0.59375
2018-11-04T05:13:45.367207: step 340, loss 0.730977, acc 0.59375
2018-11-04T05:13:46.016718: step 341, loss 0.6625, acc 0.640625
2018-11-04T05:13:46.686783: step 342, loss 0.625951, acc 0.71875
2018-11-04T05:13:47.322693: step 343, loss 0.762504, acc 0.671875
2018-11-04T05:13:47.964133: step 344, loss 0.519309, acc 0.71875
2018-11-04T05:13:48.600439: step 345, loss 0.508727, acc 0.6875
2018-11-04T05:13:49.241641: step 346, loss 0.743396, acc 0.625
2018-11-04T05:13:49.878460: step 347, loss 0.877317, acc 0.5
2018-11-04T05:13:50.520733: step 348, loss 0.627429, acc 0.6875
2018-11-04T05:13:51.175637: step 349, loss 0.558795, acc 0.671875
2018-11-04T05:13:51.822352: step 350, loss 0.652021, acc 0.671875
2018-11-04T05:13:52.467287: step 351, loss 0.807688, acc 0.640625
2018-11-04T05:13:53.101072: step 352, loss 0.462513, acc 0.75
2018-11-04T05:13:53.737142: step 353, loss 0.598647, acc 0.703125
2018-11-04T05:13:54.372609: step 354, loss 0.752758, acc 0.6875
2018-11-04T05:13:55.009236: step 355, loss 0.502228, acc 0.765625
2018-11-04T05:13:55.644617: step 356, loss 0.651848, acc 0.6875
2018-11-04T05:13:56.294502: step 357, loss 0.57768, acc 0.734375
2018-11-04T05:13:56.939022: step 358, loss 0.677957, acc 0.65625
2018-11-04T05:13:57.581427: step 359, loss 0.647861, acc 0.71875
2018-11-04T05:13:58.211809: step 360, loss 0.608794, acc 0.71875
2018-11-04T05:13:58.852445: step 361, loss 0.662766, acc 0.609375
2018-11-04T05:13:59.490004: step 362, loss 0.565852, acc 0.703125
2018-11-04T05:14:00.135207: step 363, loss 0.810215, acc 0.59375
2018-11-04T05:14:00.777363: step 364, loss 0.69479, acc 0.640625
2018-11-04T05:14:01.422345: step 365, loss 0.649508, acc 0.71875
2018-11-04T05:14:02.072540: step 366, loss 0.636906, acc 0.671875
2018-11-04T05:14:02.720632: step 367, loss 0.568954, acc 0.703125
2018-11-04T05:14:03.357036: step 368, loss 0.813098, acc 0.625
2018-11-04T05:14:04.006140: step 369, loss 0.562647, acc 0.71875
2018-11-04T05:14:04.651667: step 370, loss 0.560372, acc 0.71875
2018-11-04T05:14:05.287599: step 371, loss 0.474488, acc 0.6875
2018-11-04T05:14:05.938331: step 372, loss 0.789888, acc 0.640625
2018-11-04T05:14:06.579153: step 373, loss 0.681623, acc 0.59375
2018-11-04T05:14:07.229207: step 374, loss 0.607662, acc 0.6875
2018-11-04T05:14:07.869733: step 375, loss 0.628908, acc 0.703125
2018-11-04T05:14:08.513996: step 376, loss 0.629941, acc 0.6875
